CONTAINER ID   NAME                                 CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
3b7a08dbe537   clab-network-Client25-WAN            0.00%     1.598MiB / 9.725GiB   0.02%     77.6kB / 946B     0B / 4.1kB       2
8cf017ac2df3   clab-network-Client10-WAN            0.00%     1.602MiB / 9.725GiB   0.02%     65kB / 946B       0B / 4.1kB       2
b971995e1cdb   clab-network-Client26-WAN            0.00%     1.594MiB / 9.725GiB   0.02%     44kB / 1.04kB     0B / 4.1kB       2
94d0f4a50158   clab-network-Client50-LAN            0.00%     1.59MiB / 9.725GiB    0.02%     49.9kB / 1.09kB   0B / 4.1kB       2
314c37f72d4f   clab-network-Client5-LAN             0.00%     1.598MiB / 9.725GiB   0.02%     79.6kB / 946B     0B / 4.1kB       2
9d2bcd066128   clab-network-Client47-LAN            0.00%     1.602MiB / 9.725GiB   0.02%     80.1kB / 946B     0B / 4.1kB       2
8b09614aecd5   clab-network-Client18-WAN            0.00%     1.586MiB / 9.725GiB   0.02%     78.4kB / 946B     0B / 4.1kB       2
29679e75e3c4   clab-network-Client3-WAN             0.00%     1.594MiB / 9.725GiB   0.02%     61.7kB / 946B     0B / 4.1kB       2
d3ab0a97952e   clab-network-Server1-nginx-WAN       0.00%     3.5MiB / 9.725GiB     0.04%     40kB / 946B       0B / 8.19kB      4
927e7e85d944   clab-network-Client34-LAN            0.00%     1.602MiB / 9.725GiB   0.02%     83kB / 946B       0B / 4.1kB       2
644695312ac9   clab-network-Client4-LAN             0.00%     1.594MiB / 9.725GiB   0.02%     81.4kB / 946B     0B / 4.1kB       2
8725879f7b8c   clab-network-Client15-LAN            0.00%     1.598MiB / 9.725GiB   0.02%     88.3kB / 946B     0B / 4.1kB       2
4831be23644e   clab-network-Client24-WAN            0.00%     1.605MiB / 9.725GiB   0.02%     86.9kB / 946B     0B / 4.1kB       2
c2d8b051d166   clab-network-Client8-WAN             0.00%     1.594MiB / 9.725GiB   0.02%     92kB / 946B       0B / 4.1kB       2
0b39dd3fc97e   clab-network-Client35-LAN            0.00%     1.641MiB / 9.725GiB   0.02%     35.1kB / 946B     41kB / 4.1kB     2
de6ba7206fae   clab-network-Client19-WAN            0.00%     1.602MiB / 9.725GiB   0.02%     73.2kB / 946B     0B / 4.1kB       2
3997b1d0badc   clab-network-Client12-LAN            0.00%     1.582MiB / 9.725GiB   0.02%     94.9kB / 946B     0B / 4.1kB       2
ab673776cdf6   clab-network-Client10-LAN            0.00%     1.59MiB / 9.725GiB    0.02%     63kB / 946B       0B / 4.1kB       2
5c92d961992a   clab-network-br-DMZ                 0.00%     1.594MiB / 9.725GiB   0.02%     97.5kB / 946B     0B / 4.1kB       2
0e9358db4b75   clab-network-Client27-WAN            0.00%     1.594MiB / 9.725GiB   0.02%     55.5kB / 946B     0B / 4.1kB       2
d01bd1cae9f0   clab-network-Client19-LAN            0.00%     1.59MiB / 9.725GiB    0.02%     81.1kB / 946B     0B / 4.1kB       2
34b6b8b8b675   clab-network-Client6-LAN             0.00%     1.605MiB / 9.725GiB   0.02%     55.5kB / 946B     0B / 4.1kB       2
5d4074cdd937   clab-network-Client32-LAN            0.00%     1.598MiB / 9.725GiB   0.02%     91.4kB / 946B     0B / 4.1kB       2
fb7fb8955d1b   clab-network-Client39-LAN            0.00%     1.613MiB / 9.725GiB   0.02%     84.1kB / 946B     0B / 4.1kB       2
1316357bb549   clab-network-Client6-WAN             0.00%     1.605MiB / 9.725GiB   0.02%     87kB / 946B       0B / 4.1kB       2
1a628e4c858c   clab-network-Client40-LAN            0.00%     1.586MiB / 9.725GiB   0.02%     92.5kB / 946B     0B / 4.1kB       2
0a72c485c96d   clab-network-Client35-WAN            0.00%     1.602MiB / 9.725GiB   0.02%     96.7kB / 946B     0B / 4.1kB       2
a1046bb40d66   clab-network-Client49-LAN            0.00%     1.598MiB / 9.725GiB   0.02%     74.4kB / 946B     0B / 4.1kB       2
429ff93c689f   clab-network-Client40-WAN            0.00%     3.875MiB / 9.725GiB   0.04%     102kB / 946B      7.15MB / 4.1kB   2
b92c6edb8afe   clab-network-Client39-WAN            0.00%     1.605MiB / 9.725GiB   0.02%     55.5kB / 946B     0B / 4.1kB       2
806bf4032e10   clab-network-Attacker-WAN            0.00%     1004KiB / 9.725GiB    0.01%     99.6kB / 946B     0B / 0B          1
cd36a915d062   clab-network-Client27-LAN            0.00%     1.586MiB / 9.725GiB   0.02%     96.3kB / 946B     0B / 4.1kB       2
88db2f44b000   clab-network-router-Internet        0.04%     14.72MiB / 9.725GiB   0.15%     94.1kB / 1.02kB   4.1kB / 0B       15
2c16e24fa4d2   clab-network-Client30-LAN            0.00%     1.602MiB / 9.725GiB   0.02%     99.8kB / 946B     0B / 4.1kB       2
c4f924ab13a8   clab-network-Client1-LAN             0.00%     1.59MiB / 9.725GiB    0.02%     101kB / 946B      0B / 4.1kB       2
a0f5b33a4dd7   clab-network-Client22-LAN            0.00%     1.609MiB / 9.725GiB   0.02%     98.7kB / 946B     0B / 4.1kB       2
638bb1f70e74   clab-network-Client37-WAN            0.00%     1.59MiB / 9.725GiB    0.02%     101kB / 946B      0B / 4.1kB       2
56eb055a659f   clab-network-Client7-WAN             0.00%     1.578MiB / 9.725GiB   0.02%     96kB / 1.02kB     0B / 4.1kB       2
27232bc416e9   clab-network-Client9-WAN             0.00%     1.598MiB / 9.725GiB   0.02%     97.7kB / 946B     0B / 4.1kB       2
